#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   U      B      V      R      I      J      H      K        Mact
 1   6.87 -0.11  0.10125 -1.917 3.495  4.287  9.30  0.038 0.00 18.863 24.501 22.855 21.178 19.937 18.401 17.004 16.460 16.185  0.101 
 1   7.33  0.13  0.17509 -2.022 3.515  4.710  6.20  0.029 0.00 16.025 21.067 19.617 18.053 16.906 15.496 14.199 13.655 13.397  0.175 
 1   7.77  0.31  0.28472 -1.970 3.548  5.001  6.00  0.028 0.00 15.696 20.095 18.764 17.290 16.264 15.085 13.951 13.377 13.141  0.285 
 1   8.15  0.05  0.13711 -2.415 3.496  4.919  4.10  0.016 0.80 14.334 19.969 18.385 16.737 15.475 13.888 12.446 11.917 11.637  0.137 
 1   8.17 -0.13  0.28472 -1.925 3.565  5.024  8.60  0.037 0.00 18.181 22.225 20.975 19.552 18.571 17.538 16.478 15.895 15.687  0.285 
 1   8.17  0.13  0.95077 -0.285 3.725  4.547  8.60  0.037 0.87 13.642 15.326 14.795 13.893 13.376 12.956 12.367 11.892 11.836  0.951 
 1   8.31 -0.05  0.08214 -2.843 3.454  4.958  4.70  0.019 0.00 16.578 23.434 21.473 19.655 18.170 16.295 14.600 14.075 13.774  0.082 
 1   8.41  0.13  1.08065 -0.003 3.761  4.464  8.60  0.037 0.00 13.378 14.383 14.175 13.472 13.073 12.738 12.306 11.966 11.930  1.081 
 1   8.43  0.17  0.23913 -2.112 3.540  5.034  5.10  0.022 0.00 15.149 19.697 18.334 16.837 15.784 14.551 13.382 12.818 12.577  0.239 
 1   8.53  0.53  0.13711 -2.490 3.487  4.959  6.10  0.028 0.00 17.095 22.839 21.227 19.561 18.280 16.667 15.204 14.674 14.392  0.137 
 1   8.61  0.17  0.54637 -1.288 3.601  4.811  7.20  0.034 0.88 14.617 18.116 17.030 15.769 14.872 13.970 12.968 12.305 12.165  0.546 
 1   8.71 -0.11  0.10893 -2.728 3.479  5.066  7.80  0.036 0.94 18.714 25.013 23.149 21.377 20.021 18.322 16.804 16.262 15.979  0.109 
 1   8.73  0.09  0.72473 -0.825 3.652  4.677  5.40  0.024 0.82 11.820 14.650 13.650 12.497 11.759 11.152 10.323  9.660  9.565  0.725 
 1   8.73  0.15  0.19153 -2.288 3.526  5.060  9.00  0.038 0.73 18.999 24.082 22.620 21.049 19.900 18.484 17.169 16.624 16.363  0.192 
 1   8.75 -0.15  0.18597 -2.278 3.537  5.079  7.70  0.036 0.00 18.164 22.867 21.410 19.855 18.789 17.575 16.407 15.839 15.594  0.186 
 1   8.79  0.11  0.28671 -1.952 3.553  5.004  8.10  0.037 0.00 17.750 22.065 20.758 19.302 18.288 17.135 16.016 15.437 15.207  0.287 
 1   8.83 -0.43  0.13821 -2.541 3.511  5.109  6.30  0.029 0.93 16.757 22.382 20.543 18.785 17.602 16.225 14.952 14.374 14.114  0.138 
 1   8.91 -0.01  0.43683 -1.538 3.584  4.899  6.30  0.029 0.00 14.916 18.560 17.448 16.134 15.203 14.252 13.238 12.627 12.458  0.437 
 1   8.91  0.11  0.27264 -1.994 3.550  5.013  7.00  0.033 0.81 16.205 20.661 19.316 17.831 16.796 15.601 14.455 13.884 13.646  0.273 
 1   8.93 -0.07  0.13711 -2.638 3.492  5.129  6.90  0.033 0.98 17.535 23.358 21.631 19.925 18.656 17.080 15.660 15.117 14.844  0.137 
 1   8.93  0.13  0.65918 -0.999 3.631  4.728 11.80  0.038 0.00 19.067 22.114 21.044 19.843 19.064 18.416 17.549 16.860 16.759  0.659 
 1   8.95  0.01  0.47107 -1.457 3.590  4.874  8.40  0.037 0.00 16.813 20.370 19.271 17.974 17.060 16.155 15.159 14.527 14.371  0.471 
 1   8.97 -0.07  0.20188 -2.217 3.544  5.084  6.30  0.029 0.00 16.613 21.130 19.740 18.228 17.188 16.006 14.866 14.296 14.057  0.202 
 1   8.97 -0.01  0.12291 -2.793 3.477  5.176  5.20  0.023 0.00 16.952 23.174 21.347 19.598 18.249 16.550 15.033 14.497 14.216  0.123 
 1   8.97  0.09  0.96634 -0.217 3.735  4.528  7.60  0.035 0.00 12.914 14.240 13.878 13.071 12.618 12.242 11.735 11.332 11.287  0.966 
 1   8.97  0.29  0.11118 -2.913 3.459  5.179  6.00  0.028 0.00 18.052 24.938 22.908 21.078 19.604 17.750 16.085 15.552 15.261  0.111 
 1   8.99 -0.09  0.22537 -2.126 3.551  5.066  7.30  0.034 0.00 17.384 21.776 20.411 18.917 17.899 16.767 15.655 15.079 14.844  0.225 
 1   9.01 -0.03  0.13960 -2.669 3.491  5.161  4.90  0.021 0.00 16.342 22.155 20.441 18.743 17.471 15.885 14.459 13.920 13.647  0.140 
 1   9.03 -0.15  0.79859 -0.558 3.697  4.634  8.10  0.037 0.00 14.265 16.078 15.502 14.571 14.029 13.584 12.954 12.440 12.378  0.799 
 1   9.07 -0.13  1.30518  0.548 3.833  4.282  9.70  0.038 0.00 13.100 13.478 13.527 13.129 12.878 12.653 12.395 12.196 12.177  1.305 
 1   9.09  0.13  0.45881 -1.497 3.583  4.876  8.50  0.037 0.00 17.012 20.704 19.604 18.312 17.370 16.366 15.320 14.700 14.534  0.459 
 1   9.09  0.13  0.23741 -2.110 3.542  5.037  8.80  0.037 0.97 18.128 22.683 21.319 19.818 18.766 17.537 16.368 15.801 15.560  0.237 
 1   9.09  0.15  0.42139 -1.589 3.575  4.900  8.90  0.038 0.00 17.642 21.467 20.355 19.049 18.078 17.000 15.920 15.322 15.141  0.421 
 1   9.09  0.23  0.20998 -2.219 3.533  5.056  8.80  0.037 0.00 19.118 23.836 22.438 20.914 19.832 18.544 17.337 16.778 16.532  0.210 
 1   9.13 -0.25  0.12936 -2.735 3.492  5.198  6.90  0.033 0.00 18.507 24.579 22.651 20.864 19.586 18.033 16.646 16.083 15.819  0.129 
 1   9.13  0.07  0.20351 -2.229 3.537  5.071  5.60  0.025 0.00 15.942 20.556 19.174 17.663 16.600 15.350 14.170 13.608 13.366  0.204 
 1   9.13  0.11  0.16911 -2.461 3.509  5.110  8.20  0.037 0.96 18.422 23.746 22.199 20.580 19.390 17.920 16.580 16.038 15.773  0.169 
 1   9.15 -0.15  0.82060 -0.492 3.707  4.617 12.10  0.038 0.00 18.101 19.766 19.263 18.368 17.852 17.423 16.823 16.336 16.278  0.821 
 1   9.15 -0.11  0.46684 -1.445 3.595  4.880  8.70  0.037 0.94 16.417 19.895 18.808 17.505 16.605 15.754 14.784 14.152 13.997  0.467 
 1   9.15  0.17  0.26334 -2.028 3.545  5.013  8.70  0.037 0.00 18.541 23.013 21.667 20.181 19.143 17.942 16.792 16.220 15.981  0.263 
 1   9.15  0.27  0.46461 -1.485 3.582  4.865  9.30  0.038 0.74 17.356 21.209 20.084 18.779 17.810 16.728 15.640 15.026 14.846  0.465 
 1   9.17 -0.05  0.28295 -1.940 3.560  5.017  7.00  0.033 0.00 16.621 20.763 19.496 18.065 17.072 15.986 14.902 14.321 14.105  0.283 
 1   9.17  0.15  0.32993 -1.833 3.559  4.972  6.80  0.032 0.00 16.152 20.313 19.062 17.650 16.651 15.525 14.422 13.837 13.622  0.330 
 1   9.19 -0.11  0.46379 -1.452 3.595  4.881  6.80  0.032 0.00 15.199 18.631 17.552 16.257 15.364 14.533 13.572 12.934 12.784  0.464 
 1   9.19 -0.09  0.20955 -2.184 3.547  5.078  8.20  0.037 0.00 18.430 22.905 21.518 20.009 18.978 17.821 16.694 16.120 15.882  0.210 
 1   9.19 -0.05  0.21495 -2.170 3.546  5.072  8.30  0.037 0.92 17.823 22.347 20.964 19.455 18.413 17.222 16.076 15.505 15.266  0.215 
 1   9.19  0.03  0.54623 -1.269 3.606  4.813 10.10  0.038 0.99 17.315 20.647 19.568 18.306 17.444 16.661 15.719 15.041 14.913  0.546 
 1   9.19  0.11  1.47068  0.751 3.823  4.092  6.60  0.031 0.00  9.492  9.950  9.936  9.494  9.224  8.992  8.719  8.514  8.492  1.471 
 1   9.19  0.15  0.26198 -2.029 3.546  5.015  8.60  0.037 0.00 18.444 22.902 21.558 20.074 19.038 17.842 16.696 16.123 15.885  0.262 
 1   9.21 -0.11  1.31456  0.587 3.829  4.233  9.90  0.038 0.00 13.203 13.597 13.638 13.231 12.974 12.745 12.479 12.275 12.256  1.315 
 1   9.23 -0.25  0.61637 -1.019 3.640  4.753  8.90  0.038 0.00 16.218 18.979 18.041 16.892 16.155 15.562 14.739 14.073 13.973  0.616 
 1   9.23  0.09  0.48824 -1.420 3.591  4.856  6.90  0.033 1.00 14.469 18.020 16.929 15.648 14.736 13.815 12.810 12.168 12.017  0.488 
 1   9.25 -0.45  0.23906 -2.003 3.577  5.074  7.60  0.035 0.00 17.378 21.137 19.942 18.524 17.575 16.709 15.722 15.144 14.947  0.239 
 1   9.25 -0.43  0.30470 -1.803 3.588  5.023  8.50  0.037 0.00 17.778 21.285 20.180 18.824 17.912 17.104 16.154 15.559 15.380  0.305 
 1   9.25 -0.13  0.37728 -1.669 3.581  4.952  8.10  0.037 0.75 16.566 20.379 19.208 17.836 16.882 15.909 14.880 14.288 14.098  0.377 
 1   9.25 -0.05  0.30443 -1.877 3.564  5.002  7.10  0.034 0.00 16.563 20.611 19.375 17.967 16.984 15.921 14.850 14.267 14.058  0.304 
 1   9.25  0.21  0.10182 -3.060 3.444  5.228  4.60  0.019 0.00 17.019 24.582 22.294 20.380 18.787 16.803 15.011 14.477 14.184  0.102 
 1   9.27 -0.35  0.59365 -1.055 3.639  4.768  8.70  0.037 0.00 16.108 18.846 17.930 16.783 16.046 15.452 14.630 13.967 13.863  0.594 
