#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   U      B      V      R      I      J      H      K        Mact
 1   7.55  0.19  1.72636  0.930 3.887  4.239  7.90  0.031 0.00 10.346 10.608 10.576 10.321 10.175 10.055  9.923  9.833  9.821  1.726 
 1   7.95 -0.25  1.72640  1.050 3.945  4.350 10.00  0.037 0.00 12.146 12.359 12.329 12.229 12.185 12.146 12.102 12.077 12.070  1.726 
 1   8.01 -0.03  0.57699 -1.188 3.616  4.797  7.80  0.031 0.00 15.539 18.717 17.654 16.414 15.589 14.883 13.981 13.296 13.178  0.577 
 1   8.31  0.11  0.62775 -1.081 3.624  4.759  9.60  0.037 0.00 17.073 20.218 19.133 17.909 17.105 16.424 15.534 14.835 14.728  0.628 
 1   8.33  0.01  0.55901 -1.240 3.609  4.808  9.20  0.036 0.00 17.070 20.345 19.269 18.014 17.167 16.416 15.489 14.808 14.684  0.559 
 1   8.39  0.53  0.57698 -1.218 3.608  4.794  8.90  0.036 0.81 16.251 19.782 18.689 17.473 16.581 15.624 14.588 13.906 13.776  0.577 
 1   8.45 -0.03  0.54330 -1.272 3.608  4.821  9.70  0.037 0.76 17.230 20.633 19.548 18.271 17.394 16.573 15.612 14.962 14.818  0.543 
 1   8.51 -0.23  1.19528  0.319 3.817  4.412  9.70  0.037 0.00 13.672 14.094 14.166 13.724 13.443 13.190 12.895 12.661 12.641  1.195 
 1   8.55 -0.29  1.09518  0.155 3.800  4.469  7.90  0.031 0.00 12.281 12.771 12.843 12.346 12.033 11.753 11.417 11.148 11.124  1.095 
 1   8.57 -0.09  0.55889 -1.217 3.615  4.808  9.00  0.036 0.00 16.813 19.990 18.937 17.694 16.866 16.158 15.256 14.576 14.455  0.559 
 1   8.59  0.17  0.45973 -1.500 3.582  4.875  8.70  0.035 0.00 17.220 20.936 19.839 18.554 17.604 16.577 15.519 14.901 14.734  0.460 
 1   8.63  0.09  0.56066 -1.244 3.607  4.804  9.60  0.037 0.97 16.781 20.129 19.047 17.791 16.929 16.131 15.180 14.498 14.372  0.561 
 1   8.63  0.25  1.17505  0.178 3.778  4.390  8.50  0.034 0.00 12.826 13.671 13.518 12.877 12.511 12.206 11.826 11.533 11.501  1.175 
 1   8.65  0.21  1.17972  0.188 3.779  4.386  7.20  0.027 0.00 11.501 12.310 12.175 11.546 11.185 10.883 10.506 10.214 10.183  1.180 
 1   8.71  0.11  0.24327 -2.088 3.544  5.034  7.20  0.027 0.00 17.190 21.671 20.321 18.832 17.792 16.586 15.435 14.866 14.628  0.243 
 1   8.73 -0.01  1.22217  0.320 3.802  4.358 13.40  0.038 0.76 17.139 17.812 17.771 17.207 16.867 16.570 16.195 15.893 15.861  1.222 
 1   8.79 -0.07  2.77370 -0.800 4.511  8.089  7.10  0.027 0.00 13.869 15.642 16.732 16.999 17.132 17.308 17.695 17.819 17.926  0.728 
 1   8.81 -0.05  0.54512 -1.261 3.609  4.818  7.00  0.026 0.86 14.388 17.718 16.646 15.378 14.513 13.724 12.783 12.124 11.988  0.545 
 1   8.87  0.03  0.36221 -1.737 3.570  4.959  7.10  0.027 0.00 16.212 20.123 18.948 17.587 16.616 15.558 14.495 13.908 13.713  0.362 
